#PSR	ADM	gammaDM
J0125-2327	-12.3	4.0
J0437-4715	-11.8	1.3
J0610-2100	-11.4	1.4
J0613-0200	-13.75	2.89
J0711-6830	-15.79	6.24
J0900-3144	-10.9	1.8
J0955-6150	-10.9	2.7
J1017-7156	-11.3	1.4
J1022+1001	-11.3	2.0
J1024-0719	-13.98	4.04
J1045-4509	-10.9	1.7
J1101-6424	-11.0	2.9
J1125-5825	-11.4	5.0
J1125-6014	-11.7	4.0
J1216-6410	-11.7	1.6
J1431-5740	-10.6	2.3
J1446-4701	-11.5	3.0
J1525-5545	-10.6	2.0
J1545-4550	-11.7	4.0
J1547-5709	-11.2	1.0
J1600-3053	-11.8	3.0
J1603-7202	-13.14	2.12
J1643-1224	-10.7	3.5
J1652-4838	-10.7	1.6
J1653-2054	-10.9	0.8
J1705-1903	-11.1	0.7
J1713+0747	-13.47	1.49
J1730-2304	-13.52	2.39
J1732-5049	-12.7	2.7
J1737-0811	-11.1	0.8
J1744-1134	-13.33	1.23
J1747-4036	-10.8	2.1
J1756-2251	-10.9	0.4
J1802-2124	-10.7	1.7
J1811-2405	-11.3	1.5
J1825-0319	-11.0	2.2
J1843-1113	-11.2	3.2
J1909-3744	-11.72	2.6
J2124-3358	-13.59	1.4
J2129-5721	-13.47	1.57
J2145-0750	-13.67	1.2
J2241-5236	-13.9	1.8
