#PSR	jitter 	error
J0030+0451	88	25
J0125-2327	48	13
J0437-4715	50	10
J0610-2100	88	25
J0613-0200	88	25
J0614-3329	88	25
J0636-3044	100	30
J0711-6830	60	20
J0900-3144	88	25
J0931-1902	88	25
J0955-6150	88	25
J1012-4235	88	25
J1017-7156	88	25
J1022+1001	120	20
J1024-0719	88	25
J1036-8317	88	25
J1045-4509	130	75
J1101-6424	88	25
J1103-5403	88	25
J1125-5825	88	25
J1125-6014	88	25
J1231-1411	88	25
J1216-6410	88	25
J1327-0755	88	25
J1421-4409	88	25
J1431-5740	88	25
J1435-6100	88	25
J1446-4701	88	25
J1455-3330	88	25
J1513-2550	88	25
J1525-5545	88	25
J1543-5149	88	25
J1545-4550	88	25
J1547-5709	88	25
J1600-3053	88	25
J1603-7202	180	40
J1614-2230	88	25
J1629-6902	88	25
J1643-1224	88	25
J1652-4838	88	25
J1653-2054	88	25
J1658-5324	88	25
J1705-1903	88	25
J1708-3506	88	25
J1713+0747	88	25
J1719-1438	88	25
J1721-2457	88	25
J1730-2304	80	45
J1732-5049	88	25
J1737-0811	88	25
J1744-1134	30	6
J1747-4036	88	25
J1751-2857	88	25
J1756-2251	88	25
J1757-5322	130	45
J1801-1417	88	25
J1802-2124	88	25
J1804-2858	88	25
J1811-2405	88	25
J1832-0836	88	25
J1825-0319	88	25
J1843-1113	88	25
J1902-5105	88	25
J1903-7051	88	25
J1909-3744	9	3
J1918-0642	88	25
J1933-6211	88	25
J1946-5403	88	25
J2010-1323	88	25
J2039-3616	88	25
J2124-3358	88	25
J2129-5721	88	25
J2145-0750	200	20
J2150-0326	88	25
J2222-0137	88	25
J2229+2643	88	25
J2234+0944	88	25
J2236-5527	88	25
J2241-5236	3.8	0.8
J2317+1439	88	25
J2322+2057	88	25
J2322-2650	88	25
J0101-6422	88	25
J1514-4946	88	25
J1628-3205	88	25
J1731-1847	88	25
J1804-2717	88	25
J1843-1448	88	25
J1911-1114	88	25
