# from spreadsheet copied 29 June 2021 https://docs.google.com/spreadsheets/d/1VAsXx46hpdWurephF91MRIpqA-E8-SnSwLxt9qDcdaQ/edit#gid=1653432084 "updated_apr21" tab
#PSR    IntegrationTime    ExpectedPrecision
J0030+0451    256    0.753
J0101-6422    2024    1.002
J0125-2327    256    0.263
J0437-4715    256    0.117
J0610-2100    256    0.854
J0613-0200    256    0.287
J0614-3329    256    0.575
J0636-3044    1248    1.002
J0711-6830    256    0.636
J0900-3144    256    0.590
J0931-1902    472    1.002
J0955-6150    312    1.005
J1012-4235    256    0.820
J1017-7156    256    0.130
J1022+1001    256    0.622
J1024-0719    256    0.873
J1036-8317    256    0.615
J1045-4509    256    0.706
J1101-6424    1288    1.002
J1103-5403    256    0.713
J1125-5825    256    0.523
J1125-6014    256    0.148
J1216-6410    256    0.292
J1231-1411    2448    1.001
J1327-0755    616    1.004
J1421-4409    400    1.001
J1431-5740    296    1.007
J1435-6100    256    0.789
J1446-4701    256    0.428
J1455-3330    480    1.003
J1513-2550    256    0.884
J1514-4946    264    1.011
J1525-5545    736    1.001
J1543-5149    280    1.006
J1545-4550    256    0.327
J1547-5709    656    1.002
J1600-3053    256    0.133
J1603-7202    256    0.623
J1614-2230    256    0.259
J1628-3205    336    1.002
J1629-6902    256    0.400
J1643-1224    256    0.306
J1652-4838    864    1.004
J1653-2054    1312    1.003
J1658-5324    368    1.010
J1705-1903    256    0.218
J1708-3506    1272    1.002
J1713+0747    256    0.079
J1719-1438    640    1.000
J1721-2457    1776    1.000
J1730-2304    256    0.487
J1731-1847    304    1.010
J1732-5049    256    0.749
J1737-0811    896    1.004
J1744-1134    256    0.137
J1747-4036    256    0.714
J1751-2857    504    1.004
J1756-2251    824    1.000
J1757-5322    256    0.954
J1801-1417    256    0.748
J1802-2124    256    0.503
J1804-2717    312    1.004
J1804-2858    1160    1.001
J1811-2405    256    0.323
J1825-0319    1088    1.002
J1832-0836    256    0.364
J1843-1113    256    0.336
J1843-1448    1128    1.001
J1902-5105    256    0.262
J1903-7051    256    0.643
J1909-3744    256    0.052
J1911-1114    712    1.005
J1918-0642    256    0.349
J1933-6211    344    1.011
J1946-5403    256    0.372
J2010-1323    256    0.398
J2039-3616    424    1.003
J2124-3358    256    0.649
J2129-5721    256    0.647
J2145-0750    256    0.500
J2150-0326    256    0.566
J2222-0137    256    0.650
J2229+2643    592    1.004
J2234+0944    256    0.664
J2236-5527    2400    1.001
J2241-5236    256    0.048
J2317+1439    256    0.707
J2322+2057    1312    1.002
J2322-2650    440    1.003
