# from spreadsheet copied 23 August 2023 https://docs.google.com/spreadsheets/d/1VAsXx46hpdWurephF91MRIpqA-E8-SnSwLxt9qDcdaQ/edit#gid=1653432084 "updated_sep21" tab
#PSR	IntegrationTime	ExpectedPrecision
J0030+0451	256	    0.784
J0101-6422	1296	1.001
J0125-2327	256	    0.228
J0437-4715	256	    0.074
J0610-2100	256	    0.83
J0613-0200	256	    0.283
J0614-3329	256	    0.575
J0636-3044	1224	1.002
J0711-6830	256	    0.771
J0900-3144	256	    0.602
J0931-1902	456	    1.002
J0955-6150	272	    1.014
J1012-4235	256	    0.783
J1017-7156	256	    0.125
J1022+1001	256	    0.633
J1024-0719	256	    0.635
J1036-8317	256	    0.6
J1045-4509	256	    0.668
J1101-6424	1160	1.002
J1103-5403	256	    0.622
J1125-5825	256	    0.538
J1125-6014	256	    0.143
J1216-6410	256	    0.281
J1231-1411	2128	1.001
J1327-0755	568	    1.004
J1421-4409	400	    1.008
J1431-5740	288	    1.007
J1435-6100	256	    0.79
J1446-4701	256	    0.39
J1455-3330	480	    1.007
J1514-4946	328	    1.006
J1525-5545	704	    1.005
J1543-5149	256	    0.976
J1545-4550	256	    0.32
J1547-5709	616	    1.004
J1600-3053	256	    0.128
J1603-7202	256	    0.534
J1614-2230	256	    0.256
J1629-6902	256	    0.424
J1643-1224	256	    0.295
J1652-4838	864	    1.004
J1653-2054	1336	1.002
J1658-5324	320	    1.002
J1705-1903	256	    0.188
J1708-3506	1096	1.003
J1713+0747	256	    0.097
J1719-1438	688	    1.004
J1721-2457	1808	1.001
J1730-2304	256	    0.483
J1731-1847	256	    0.946
J1732-5049	256	    0.723
J1737-0811	896	    1.002
J1744-1134	256	    0.125
J1747-4036	256	    0.648
J1751-2857	536	    1.001
J1756-2251	632	    1.
J1757-5322	256	    0.892
J1801-1417	256	    0.72
J1802-2124	256	    0.493
J1804-2717	296	    1.
J1804-2858	1104	1.002
J1811-2405	256	    0.288
J1825-0319	960	    1.002
J1832-0836	256	    0.364
J1843-1113	256	    0.338
J1843-1448	1872	1.002
J1902-5105	256	    0.281
J1903-7051	256	    0.61
J1909-3744	256	    0.048
J1911-1114	728	    1.
J1918-0642	256	    0.357
J1933-6211	368	    1.008
J1946-5403	256	    0.368
J2010-1323	256	    0.412
J2039-3616	376	    1.
J2124-3358	256	    0.615
J2129-5721	256	    0.563
J2145-0750	256	    0.497
J2150-0326	256	    0.57
J2222-0137	256	    0.624
J2229+2643	720	    1.
J2234+0944	256	    0.662
J2236-5527	2528	1.002
J2241-5236	256	    0.052
J2317+1439	256	    0.72
J2322+2057	1040	1.002
J2322-2650	288	    1.013
