#PSR	RA	DEC	IntTime	ExpPrecision
J0030+0451	7.61428258	4.8610309	460.8	0.5843590981199451
J0101-6422	15.29631686167	-64.37504757222	2332.8	0.7461013484924296
J0125-2327	21.25441	-23.45227	460.8	0.16994116628998404
J0437-4715	69.315894532	-47.2523951167	460.8	0.0551563434449948
J0610-2100	92.5566339	-21.0077822	460.8	0.6186454737749417
J0613-0200	93.43323	-2.0131	460.8	0.21093574587748015
J0614-3329	93.5431158	-33.4983661	460.8	0.4285796956874596
J0636-3044	99.2875	-30.845	2203.2000000000003	0.7468467044849295
J0711-6830	107.97594058	-68.51322193	460.8	0.574669470217446
J0900-3144	135.1831402	-31.7419175	460.8	0.44870430748495777
J0931-1902	142.82969	-19.0486	820.8000000000001	0.7468467044849297
J0955-6150	148.83686	-61.83803	489.6	0.7557909763949289
J1012-4235	153.05	-42.5982	460.8	0.5836137421274451
J1017-7156	154.46386835	-71.94490166	460.8	0.09316949906249124
J1022+1001	155.741742	10.0314566	460.8	0.4718103432524557
J1024-0719	156.1612	-7.32199	460.8	0.47330105523745547
J1036-8317	159.169	-83.2989	460.8	0.4472135954999579
J1045-4509	161.45912213	-45.16503952	460.8	0.4978978029899532
J1101-6424	165.404968	-64.4109256	2088.0	0.7468467044849297
J1103-5403	165.888725	-54.062013	460.8	0.46361142733495636
J1125-5825	171.4348558312	-58.421355589	460.8	0.40100152396496225
J1125-6014	171.480075	-60.2351689	460.8	0.10658590692748995
J1216-6410	184.030582	-64.169229	460.8	0.20944503389248034
J1231-1411	187.797138	-14.195453	3830.4	0.7461013484924298
J1327-0755	201.98995	-7.924944	1022.4	0.7483374164699297
J1421-4409	215.3373605	-44.1512564	720.0	0.7513188404399292
J1431-5740	217.7645644	-57.6699076	518.4	0.7505734844474293
J1435-6100	218.834459	-61.0160997	460.8	0.5888312340749446
J1446-4701	221.6488081767	-47.024101811	460.8	0.2906888370749726
J1455-3330	223.94987567	-33.51288498	864.0	0.7505734844474292
J1514-4946	228.5796427	-49.7709795	590.4	0.7498281284549295
J1525-5545	231.367225	-55.763845	1267.2	0.7490827724624295
J1543-5149	235.93396	-51.831858	460.8	0.7274674486799315
J1545-4550	236.48310705	-45.8437599	460.8	0.2385139175999776
J1547-5709	236.85052	-57.1548805	1108.8	0.7483374164699299
J1600-3053	240.21627	-30.89704	460.8	0.09540556703999105
J1603-7202	240.89866466	-72.04241679	460.8	0.3980200999949626
J1614-2230	243.65211392	-22.5086863	460.8	0.1908111340799821
J1629-6902	247.2865442	-69.045915	460.8	0.3160309408199703
J1643-1224	250.91	-12.4163	460.8	0.21988001778747931
J1652-4838	253.0	-48.6	1555.2	0.7483374164699297
J1653-2054	253.37929	-20.91531	2404.8	0.7468467044849297
J1658-5324	254.6639318925	-53.40194565	576.0	0.7468467044849297
J1705-1903	256.43271	-19.06148	460.8	0.14012692658998682
J1708-3506	257.0734259846	-35.106293383	1972.8	0.7475920604774294
J1713+0747	258.45639	7.79375	460.8	0.0722995312724932
J1719-1438	259.7919706	-14.6335951	1238.4	0.7483374164699296
J1721-2457	260.2729079	-24.951714	3254.4	0.7461013484924298
J1730-2304	262.5902557	-23.075333	460.8	0.36000694437746616
J1731-1847	262.82337796	-18.7923888	460.8	0.7051067689049336
J1732-5049	263.19902804	-50.8167113	460.8	0.5388923825774492
J1737-0811	264.4463015	-8.1858019	1612.8	0.7468467044849297
J1744-1134	266.123	-11.5819	460.8	0.09316949906249124
J1747-4036	266.95298707333	-40.61521469444	460.8	0.4829906831399546
J1751-2857	267.88622165	-28.9629222	964.8000000000001	0.7461013484924297
J1756-2251	269.1943068	-22.866519	1137.6000000000001	0.7453559924999299
J1757-5322	269.3131643	-53.3740078	460.8	0.6648575453099375
J1801-1417	270.46280555	-14.2929239	460.8	0.5366563145999496
J1802-2124	270.52222873	-21.4010166	460.8	0.3674605043024654
J1804-2717	271.08805453	-27.2920375	532.8000000000001	0.7453559924999298
J1804-2858	271.00635	-28.97961	1987.2	0.7468467044849297
J1811-2405	272.83272521	-24.088451	460.8	0.2146625258399798
J1825-0319	276.483138	-3.332658	1728.0	0.7468467044849297
J1832-0836	278.11497675	-8.6152692	460.8	0.27130958126997445
J1843-1113	280.92192465	-11.22529683	460.8	0.2519303254649763
J1843-1448	280.7557292	-14.803503	3369.6	0.7468467044849297
J1902-5105	285.51186844708	-51.09915834722	460.8	0.20944503389248034
J1903-7051	285.9116426204	-70.862065828	460.8	0.4546671554249572
J1909-3744	287.447652429	-37.737328222	460.8	0.03577708763999664
J1911-1114	287.95534304	-11.2395781	1310.4	0.7453559924999299
J1918-0642	289.700136342	-6.70969457	460.8	0.26609208932247497
J1933-6211	293.3851112	-62.1963544	662.4	0.7513188404399292
J1946-5403	296.6	-54.0618	460.8	0.2742910052399742
J2010-1323	302.6913379	-13.3989119	460.8	0.3070866689099711
J2039-3616	309.8191	-36.27144	676.8000000000001	0.7453559924999298
J2124-3358	321.18272301	-33.97907469	460.8	0.4583939353874569
J2129-5721	322.34485547	-57.35394393	460.8	0.41963542377746055
J2145-0750	326.4602666	-7.8384548	460.8	0.37044192827246514
J2150-0326	327.61347	-3.44244	460.8	0.42485291572496
J2222-0137	335.52487125	-1.62103456	460.8	0.46510213931995625
J2229+2643	337.46201887	26.73268012	1296.0	0.7453559924999299
J2234+0944	338.695206	9.74182	460.8	0.4934256670349536
