#PSR	ADM	gammaDM
J0030+0451	-11.4	2.0
J0101-6422	-11.4	2.0
J0125-2327	-12.3	4.0
J0437-4715	-11.8	1.3
J0610-2100	-11.4	1.4
J0613-0200	-13.75	2.89
J0614-3329	-11.4	2.0
J0636-3044	-11.4	2.0
J0711-6830	-15.79	6.24
J0900-3144	-10.9	1.8
J0931-1902	-11.4	2.0
J0955-6150	-10.9	2.7
J1012-4235	-11.4	2.0
J1017-7156	-11.3	1.4
J1022+1001	-11.3	2.0
J1024-0719	-13.98	4.04
J1036-8317	-11.4	2.0
J1045-4509	-10.9	1.7
J1101-6424	-11.0	2.9
J1103-5403	-11.4	2.0
J1125-5825	-11.4	5.0
J1125-6014	-11.7	4.0
J1216-6410	-11.7	1.6
J1231-1411	-11.4	2.0
J1327-0755	-11.4	2.0
J1421-4409	-11.4	2.0
J1431-5740	-10.6	2.3
J1435-6100	-11.4	2.0
J1446-4701	-11.5	3.0
J1455-3330	-11.4	2.0
J1514-4946	-11.4	2.0
J1525-5545	-10.6	2.0
J1543-5149	-11.4	2.0
J1545-4550	-11.7	4.0
J1547-5709	-11.2	1.0
J1600-3053	-11.8	3.0
J1603-7202	-13.14	2.12
J1614-2230	-11.4	2.0
J1629-6902	-11.4	2.0
J1643-1224	-10.7	3.5
J1652-4838	-10.7	1.6
J1653-2054	-10.9	0.8
J1658-5324	-11.4	2.0
J1705-1903	-11.1	0.7
J1708-3506	-11.4	2.0
J1713+0747	-13.47	1.49
J1719-1438	-11.4	2.0
J1721-2457	-11.4	2.0
J1730-2304	-13.52	2.39
J1731-1847	-11.4	2.0
J1732-5049	-12.7	2.7
J1737-0811	-11.1	0.8
J1744-1134	-13.33	1.23
J1747-4036	-10.8	2.1
J1751-2857	-11.4	2.0
J1756-2251	-10.9	0.4
J1757-5322	-11.4	2.0
J1801-1417	-11.4	2.0
J1802-2124	-10.7	1.7
J1804-2717	-11.4	2.0
J1804-2858	-11.4	2.0
J1811-2405	-11.3	1.5
J1825-0319	-11.0	2.2
J1832-0836	-11.4	2.0
J1843-1113	-11.2	3.2
J1843-1448	-11.4	2.0
J1902-5105	-11.4	2.0
J1903-7051	-11.4	2.0
J1909-3744	-11.72	2.6
J1911-1114	-11.4	2.0
J1918-0642	-11.4	2.0
J1933-6211	-11.4	2.0
J1946-5403	-11.4	2.0
J2010-1323	-11.4	2.0
J2039-3616	-11.4	2.0
J2124-3358	-13.59	1.4
J2129-5721	-13.47	1.57
J2145-0750	-13.67	1.2
J2150-0326	-11.4	2.0
J2222-0137	-11.4	2.0
J2229+2643	-11.4	2.0
J2234+0944	-11.4	2.0
J2236-5527	-11.4	2.0
J2241-5236	-13.9	1.8
J2317+1439	-11.4	2.0
J2322+2057	-11.4	2.0
J2322-2650	-11.4	2.0
