#PSR	jitter
J0030+0451	80.0
J0101-6422	80.0
J0125-2327	48.0
J0437-4715	50.0
J0610-2100	80.0
J0613-0200	80.0
J0614-3329	80.0
J0636-3044	100.0
J0711-6830	60.0
J0900-3144	80.0
J0931-1902	80.0
J0955-6150	80.0
J1012-4235	80.0
J1017-7156	80.0
J1022+1001	120.0
J1024-0719	80.0
J1036-8317	80.0
J1045-4509	130.0
J1101-6424	80.0
J1103-5403	80.0
J1125-5825	80.0
J1125-6014	80.0
J1216-6410	80.0
J1231-1411	80.0
J1327-0755	80.0
J1421-4409	80.0
J1431-5740	80.0
J1435-6100	80.0
J1446-4701	80.0
J1455-3330	80.0
J1514-4946	80.0
J1525-5545	80.0
J1543-5149	80.0
J1545-4550	80.0
J1547-5709	80.0
J1600-3053	80.0
J1603-7202	180.0
J1614-2230	80.0
J1629-6902	80.0
J1643-1224	80.0
J1652-4838	80.0
J1653-2054	80.0
J1658-5324	80.0
J1705-1903	80.0
J1708-3506	80.0
J1713+0747	80.0
J1719-1438	80.0
J1721-2457	80.0
J1730-2304	80.0
J1731-1847	80.0
J1732-5049	80.0
J1737-0811	80.0
J1744-1134	30.0
J1747-4036	80.0
J1751-2857	80.0
J1756-2251	80.0
J1757-5322	130.0
J1801-1417	80.0
J1802-2124	80.0
J1804-2717	80.0
J1804-2858	80.0
J1811-2405	80.0
J1825-0319	80.0
J1832-0836	80.0
J1843-1113	80.0
J1843-1448	80.0
J1902-5105	80.0
J1903-7051	80.0
J1909-3744	9.0
J1911-1114	80.0
J1918-0642	80.0
J1933-6211	80.0
J1946-5403	80.0
J2010-1323	80.0
J2039-3616	80.0
J2124-3358	80.0
J2129-5721	80.0
J2145-0750	200.0
J2150-0326	80.0
J2222-0137	80.0
J2229+2643	80.0
J2234+0944	80.0
J2236-5527	80.0
J2241-5236	3.8
J2317+1439	80.0
J2322+2057	80.0
J2322-2650	80.0
