#PSR        ASN     gammaSN  Ref
J0030+0451  -15.72  5.3     Alam+2021
J0437-4715  -14.56  2.99    Goncaharov+2021
J0613-0200  -14.26  4.17    Goncaharov+2021
J0711-6830  -13.04  1.09    Goncaharov+2021
J1024-0719  -14.62  6.39    Goncaharov+2021
J1600-3053  -14.34  3.81    Goncaharov+2021
J1643-1224  -12.85  0.98    Goncaharov+2021
J1713+0747  -15.16  1.6     Alam+2021
J1744-1134  -14.16  1.7     Alam+2021
J1747-4036  -13.78  3.8     Alam+2021
J1909-3744  -14.74  4.05    Goncharove+2021
J2145-0750  -13.86  1.6     Alam+2021
J2317+1439  -16.50  6.0     Alam+2021
