#PSR	ASN	gammaSN
J0030+0451	-15.72	5.3
J0125-2327	-14.43	3.34
J0437-4715	-14.56	2.99
J0610-2100	-14.43	3.34
J0613-0200	-14.26	4.17
J0614-3329	-14.43	3.34
J0636-3044	-14.43	3.34
J0711-6830	-13.04	1.09
J0900-3144	-14.43	3.34
J0931-1902	-14.43	3.34
J0955-6150	-14.43	3.34
J1012-4235	-14.43	3.34
J1017-7156	-14.43	3.34
J1022+1001	-14.43	3.34
J1024-0719	-14.62	6.39
J1036-8317	-14.43	3.34
J1045-4509	-14.43	3.34
J1101-6424	-14.43	3.34
J1103-5403	-14.43	3.34
J1125-5825	-14.43	3.34
J1125-6014	-14.43	3.34
J1231-1411	-14.43	3.34
J1216-6410	-14.43	3.34
J1327-0755	-14.43	3.34
J1421-4409	-14.43	3.34
J1431-5740	-14.43	3.34
J1435-6100	-14.43	3.34
J1446-4701	-14.43	3.34
J1455-3330	-14.43	3.34
J1513-2550	-14.43	3.34
J1525-5545	-14.43	3.34
J1543-5149	-14.43	3.34
J1545-4550	-14.43	3.34
J1547-5709	-14.43	3.34
J1600-3053	-14.34	3.81
J1603-7202	-14.43	3.34
J1614-2230	-14.43	3.34
J1629-6902	-14.43	3.34
J1643-1224	-12.85	0.98
J1652-4838	-14.43	3.34
J1653-2054	-14.43	3.34
J1658-5324	-14.43	3.34
J1705-1903	-14.43	3.34
J1708-3506	-14.43	3.34
J1713+0747	-15.16	1.6
J1719-1438	-14.43	3.34
J1721-2457	-14.43	3.34
J1730-2304	-14.43	3.34
J1732-5049	-14.43	3.34
J1737-0811	-14.43	3.34
J1744-1134	-14.16	1.7
J1747-4036	-13.78	3.8
J1751-2857	-14.43	3.34
J1756-2251	-14.43	3.34
J1757-5322	-14.43	3.34
J1801-1417	-14.43	3.34
J1802-2124	-14.43	3.34
J1804-2858	-14.43	3.34
J1811-2405	-14.43	3.34
J1832-0836	-14.43	3.34
J1825-0319	-14.43	3.34
J1843-1113	-14.43	3.34
J1902-5105	-14.43	3.34
J1903-7051	-14.43	3.34
J1909-3744	-14.74	4.05
J1918-0642	-14.43	3.34
J1933-6211	-14.43	3.34
J1946-5403	-14.43	3.34
J2010-1323	-14.43	3.34
J2039-3616	-14.43	3.34
J2124-3358	-14.43	3.34
J2129-5721	-14.43	3.34
J2145-0750	-13.86	1.6
J2150-0326	-14.43	3.34
J2222-0137	-14.43	3.34
J2229+2643	-14.43	3.34
J2234+0944	-14.43	3.34
J2236-5527	-14.43	3.34
J2241-5236	-14.43	3.34
J2317+1439	-16.5	6
J2322+2057	-14.43	3.34
J2322-2650	-14.43	3.34
J0101-6422	-14.43	3.34
J1514-4946	-14.43	3.34
J1628-3205	-14.43	3.34
J1731-1847	-14.43	3.34
J1804-2717	-14.43	3.34
J1843-1448	-14.43	3.34
J1911-1114	-14.43	3.34
