## Summary of the values used in this analysis ,,,,,,,,,,,,,,,,,
# header information ,,,,,,,,,,,,,,,,,
# PSR: pulsar name,,,,,,,,,,,,,,,,,
# RA: pulsar right ascension in degrees,,,,,,,,,,,,,,,,,
# DEC: pulsar declination in degrees,,,,,,,,,,,,,,,,,
# IntTime: the integration time used in a MeerKAT observation in seconds,,,,,,,,,,,,,,,,,
# ExpPrecision: the expected precision to which this pulsar is measured in micro-seconds,,,,,,,,,,,,,,,,,
# ASN_measured: a measured value of the spin noise amplitude used in this work (see SN_ref for references),,,,,,,,,,,,,,,,,
# gammaSN_measured: a measured value of the spin noise spectral index used in this work (see SN_ref for references),,,,,,,,,,,,,,,,,
# SN_ref: reference for the spin noise measurements used in the ASN_measured and gammaSN_measured (see reference key below),,,,,,,,,,,,,,,,,
# ASN_estimated: an estimated value for the spin noise amplitude which is used for pulsars which have no published measurements for spin noise available (see paper for details),,,,,,,,,,,,,,,,,
# gammaSN_estimated: an estimated value for the spin noise spectral index which is used for pulsars which have no published measurements for spin noise available (see paper for details),,,,,,,,,,,,,,,,,
# ADM_measured: a measured value of the dispersion measure noise used in this work (see DM_ref for references),,,,,,,,,,,,,,,,,
# gammaDM_measured: a measured value of the dispersion measure noise spectral index used in this work (see DM_ref for references),,,,,,,,,,,,,,,,,
# DM_ref: reference for the dispersion measure noise estimates used in the ADM_measured and gammaDM_measured columns (see reference key below),,,,,,,,,,,,,,,,,
# ADM_estimated: an estimated value for the dispersion measure noise amplitude which is used for pulsars which have no published measurements for dispersion measure noise available (see paper for details),,,,,,,,,,,,,,,,,
# gammaDM_estimated: an estimated value for the dispersion measure noise spectral index which is used for pulsars which have no published measurements for dispersion measure noise available (see paper for details),,,,,,,,,,,,,,,,,
# jittter_measured: a measured value of the jitter noise used in this work (see jitter_ref for references ,,,,,,,,,,,,,,,,,
# jitter_ref: reference for the jitter noise estimates used in jitter_measured (see references key below),,,,,,,,,,,,,,,,,
# jitter_estimated: an estimated value for the jitter noise measurement which is used for pulsars which have no published measurements for jitter noise available (see paper for details),,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# references key (for columns SN_ref; DM_ref; jitter_ref),,,,,,,,,,,,,,,,,
# [1]: PPTA. Reardon et al. (2023); “The Gravitational-wave Background Null Hypothesis: Characterizing Noise in Millisecond Pulsar Arrival Times with the Parkes Pulsar Timing Array”; ApJ: 10.3847/2041-8213/acdd03; arXiv: 10.48550/arXiv.2306.16229,,,,,,,,,,,,,,,,,
# [2]: NANOGrav. Agazie et al. (2023); “The NANOGrav 15 yr Data Set: Detector Characterization and Noise Budget”; ApJ: 10.3847/2041-8213/acda88; MNRAS: 10.48550/arXiv.2306.16218,,,,,,,,,,,,,,,,,
# [3]: EPTA + InPTA. Antoniadis et al. (2023); “The second data release from the European Pulsar Timing Array. II. Customised pulsar noise models for spatially correlated gravitational waves”; A&A: 10.1051/0004-6361/202346842; arXiv: 10.48550/arXiv.2306.16225 ,,,,,,,,,,,,,,,,,
# [4]: MPTA. Miles et al. (2023); “The MeerKAT Pulsar Timing Array: first data release”; MNRAS: 10.1093/mnras/stac3644; arXiv: 10.48550/arXiv.2212.04648 ,,,,,,,,,,,,,,,,,
# [5]: Parthasarathy et al. (2021); “Measurements of pulse jitter and single-pulse variability in millisecond pulsars using MeerKAT”; MNRAS: 10.1093/mnras/stab037; arXiv10.48550/arXiv.2101.08531 ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#PSR,RA,DEC,IntTime,ExpPrecision,ASN_measured,gammaSN_measured,SN_ref,ASM_estimated,gammaSN_estimated,ADM_measured,gammaDM_measured,DM_ref,ADM_estimated,gammaDM_estimated,jittter_measured,jitter_ref,jitter_estimated
J0030+0451,7.61428258,4.8610309,256,0.784,-16.3,3.4,[1],,,-16.8,3.4,[1],,,,,3.8
J0101-6422,15.29631686167,-64.37504757222,1296,1.001,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J0125-2327,21.25441,-23.45227,256,0.228,-16.9,3.3,[1],,,-12.3,4,[4],,,48,[5],
J0437-4715,69.315894532,-47.2523951167,256,0.074,-14.3,3.3,[1],,,-11.8,1.3,[4],,,50,[5],
J0610-2100,92.5566339,-21.0077822,256,0.83,-12.9,4,[2],,,-11.4,1.4,[4],,,,,3.8
J0613-0200,93.43323,-2.0131,256,0.283,-15.4,5.9,[1],,,-13.6,2.4,[1],,,,,3.8
J0614-3329,93.5431158,-33.4983661,256,0.575,-16.4,3.2,[1],,,-13.8,5,[1],,,,,3.8
J0636-3044,99.2875,-30.845,1224,1.002,,,,-17.5,3.2,,,,-17.3,2.25,100,[5],
J0711-6830,107.97594058,-68.51322193,256,0.771,-13.1,1.2,[1],,,-14.1,3.2,[1],,,60,[5],
J0900-3144,135.1831402,-31.7419175,256,0.602,-16.5,3.4,[1],,,-10.9,1.8,[4],,,,,3.8
J0931-1902,142.82969,-19.0486,456,1.002,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J0955-6150,148.83686,-61.83803,272,1.014,,,,-17.5,3.2,-10.9,2.7,[4],,,,,3.8
J1012-4235,153.05,-42.5982,256,0.783,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1017-7156,154.46386835,-71.94490166,256,0.125,-16.1,3.2,[1],,,-11.3,1.4,[4],,,,,3.8
J1022+1001,155.741742,10.0314566,256,0.633,-16.6,3.2,[1],,,-11.3,2,[4],,,120,[5],
J1024-0719,156.1612,-7.32199,256,0.635,-17.1,3.1,[1],,,-13.9,3.5,[1],,,,,3.8
J1036-8317,159.169,-83.2989,256,0.6,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1045-4509,161.45912213,-45.16503952,256,0.668,-14.5,1.4,[1],,,-10.9,1.7,[4],,,130,[5],
J1101-6424,165.404968,-64.4109256,1160,1.002,,,,-17.5,3.2,-11,2.9,[4],,,,,3.8
J1103-5403,165.888725,-54.062013,256,0.622,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1125-5825,171.4348558312,-58.421355589,256,0.538,,,,-17.5,3.2,-11.4,5,[4],,,,,3.8
J1125-6014,171.480075,-60.2351689,256,0.143,-14.2,3.9,[1],,,-11.7,4,[4],,,,,3.8
J1216-6410,184.030582,-64.169229,256,0.281,,,,-17.5,3.2,-11.7,1.6,[4],,,,,3.8
J1231-1411,187.797138,-14.195453,2128,1.001,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1327-0755,201.98995,-7.924944,568,1.004,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1421-4409,215.3373605,-44.1512564,400,1.008,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1431-5740,217.7645644,-57.6699076,288,1.007,,,,-17.5,3.2,-10.6,2.3,[4],,,,,3.8
J1435-6100,218.834459,-61.0160997,256,0.79,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1446-4701,221.6488081767,-47.024101811,256,0.39,-17,3.1,[1],,,-11.5,3,[4],,,,,3.8
J1455-3330,223.94987567,-33.51288498,480,1.007,-13.26,2.21,[3],,,,,,-17.3,2.25,,,3.8
J1514-4946,228.5796427,-49.7709795,328,1.006,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
J1525-5545,231.367225,-55.763845,704,1.005,,,,-17.5,3.2,-10.6,2,[4],,,,,3.8
J1543-5149,235.93396,-51.831858,256,0.976,,,,-17.5,3.2,,,,-17.3,2.25,,,3.8
