#PSR	RA	DEC	IntTime	ExpPrecision
J0030+0451	7.61428258	4.8610309	1	0.808
J0125-2327	21.25441	-23.45227	2	0.285
J0437-4715	69.315894532	-47.2523951167	256	0.056
J0610-2100	92.5566339	-21.0077822	1	0.955
J1125-6014	171.480075	-60.2351689	1	0.153
J1231-1411	187.797138	-14.195453	5000	1.002
J1216-6410	184.030582	-64.169229	1	0.349
J0931-1902	142.82969	-19.0486	432	1.002
J0955-6150	148.83686	-61.83803	304	1.009
J1653-2054	253.37929	-20.91531	5000	1.001
J1909-3744	287.447652429	-37.737328222	0	0.052
J2322+2057	350.5930632	20.9507437	5000	1.001
J2236-5527	339.216036	-55.463569	1000000	1.002
J2322-2650	350.64433355	-26.84953261	1000	1.006
